subject,predicate,old_object,new_object
<https://id.analoggamemuseum.org/api/items/1531>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19102>
<https://id.analoggamemuseum.org/api/items/1531>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19103>
<https://id.analoggamemuseum.org/api/items/1533>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19099>
<https://id.analoggamemuseum.org/api/items/1533>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19100>
<https://id.analoggamemuseum.org/api/items/1534>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19429>
<https://id.analoggamemuseum.org/api/items/1534>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19430>
<https://id.analoggamemuseum.org/api/items/1539>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19491>
<https://id.analoggamemuseum.org/api/items/1539>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19492>
<https://id.analoggamemuseum.org/api/items/1539>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19493>
<https://id.analoggamemuseum.org/api/items/1540>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19469>
<https://id.analoggamemuseum.org/api/items/1540>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19470>
<https://id.analoggamemuseum.org/api/items/1543>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19538>
<https://id.analoggamemuseum.org/api/items/1543>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19539>
<https://id.analoggamemuseum.org/api/items/1544>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19518>
<https://id.analoggamemuseum.org/api/items/1544>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19519>
<https://id.analoggamemuseum.org/api/items/1546>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18790>
<https://id.analoggamemuseum.org/api/items/1546>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18791>
<https://id.analoggamemuseum.org/api/items/1548>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18961>
<https://id.analoggamemuseum.org/api/items/1548>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18962>
<https://id.analoggamemuseum.org/api/items/1549>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18884>
<https://id.analoggamemuseum.org/api/items/1549>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/18885>
<https://id.analoggamemuseum.org/api/items/1550>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19512>
<https://id.analoggamemuseum.org/api/items/1550>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19513>
<https://id.analoggamemuseum.org/api/items/1550>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19514>
<https://id.analoggamemuseum.org/api/items/1551>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19530>
<https://id.analoggamemuseum.org/api/items/1551>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19531>
<https://id.analoggamemuseum.org/api/items/1552>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19126>
<https://id.analoggamemuseum.org/api/items/1552>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19127>
<https://id.analoggamemuseum.org/api/items/1553>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19120>
<https://id.analoggamemuseum.org/api/items/1553>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19121>
<https://id.analoggamemuseum.org/api/items/1554>,<http://omeka.org/s/vocabs/o#media>,,<https://id.analoggamemuseum.org/api/media/19116>
